github_username,github_name,github_bio,public_repos,followers,following,total_repositories_analyzed,total_stars,total_forks,total_watchers,readme_count,description_count,homepage_count,recent_repo_count,languages_used,language_count
JakeWharton,Jake Wharton,,151,68319,9,100,135999,22472,135999,97,100,22,100,"AIDL, ANTLR, Batchfile, C, C++, CMake, CSS, Dockerfile, GLSL, Groovy, HTML, Java, JavaScript, Kotlin, Makefile, Perl, Python, Rust, Shell, Swift, TypeScript, XSLT, Zig",23
huggingface,Hugging Face,The AI community building the future.,425,63590,0,100,639859,98026,639859,100,92,37,100,"ANTLR, C, C++, CMake, CSS, Cuda, Dockerfile, Go Template, HCL, HTML, Handlebars, JavaScript, Jinja, Jsonnet, Jupyter Notebook, Lua, MDX, Makefile, Metal, Nix, Objective-C++, PowerShell, Python, RenderScript, Rust, Shell, Svelte, Swift, TypeScript, Vim Snippet",30
rafaballerini,Rafaella Ballerini,"Desenvolvedora de software e criadora de conteúdo de programação e tecnologia!
",59,59493,30,59,21085,25398,21085,34,28,6,59,"Batchfile, C#, CSS, Dockerfile, GAP, GDScript, HTML, JavaScript, Jupyter Notebook, Python, SCSS, Shell, TypeScript",13
geohot,George Hotz,We will commoditize the petaflop.,102,46494,0,100,23612,2999,23612,87,94,20,56,"ATS, Ada, Assembly, Awk, Batchfile, Brainfuck, C, C#, C++, CMake, CSS, CoffeeScript, Common Lisp, Coq, Cuda, Cython, D, Dart, Dockerfile, Eagle, Elixir, Emacs Lisp, F#, GAP, GDB, GLSL, Go, Gosu, HTML, Haskell, Haxe, HolyC, J, Java, JavaScript, Julia, Jupyter Notebook, Kaitai Struct, Kotlin, LLVM, Lean, Lua, M4, MATLAB, Makefile, Metal, NSIS, Nim, OCaml, Objective-C, Objective-C++, PHP, Pascal, Perl, Perl 6, PowerShell, Prolog, PureBasic, Python, QML, R, Racket, Raku, Roff, Ruby, Rust, Sage, Scala, Scheme, Shell, Smarty, Solidity, SourcePawn, Starlark, Swift, SystemVerilog, Tcl, TypeScript, VBA, Vala, Verilog, Vim Script, WebAssembly, Yacc",84
krishnaik06,Krish C Naik,Data Scientist with ML and Deep  Learning experience,346,41502,0,100,45908,30624,45908,98,0,0,100,"Batchfile, C, C++, CSS, Classic ASP, Cython, Dockerfile, Forth, Fortran, HCL, HTML, JavaScript, Jinja, Jupyter Notebook, Less, Lua, Makefile, PowerShell, Python, Roff, Shell, Smarty, TSQL, VBScript, XSLT",25
michaelliao,Crypto Michael,Crypto developer.,116,38518,3,100,22091,18843,22091,87,78,36,55,"ApacheConf, Batchfile, C, C#, C++, CMake, CSS, Circom, Clojure, Dockerfile, Groovy, HTML, Java, JavaScript, Less, Lua, Makefile, Move, Pascal, PowerShell, Python, Ruby, Shell, Solidity, TypeScript, V, Verilog, XSLT",28
rasbt,Sebastian Raschka,AI Research Engineer working on LLMs.,149,38025,41,100,178916,38568,178916,98,88,33,76,"Assembly, Batchfile, C, C++, CMake, CSS, Cuda, Cython, D, Dockerfile, Forth, Fortran, GDB, GLSL, HTML, Java, JavaScript, Jinja, Jupyter Notebook, LLVM, Makefile, Markdown, Metal, Objective-C, Objective-C++, OpenEdge ABL, Perl 6, PowerShell, Procfile, PureBasic, Python, R, Roff, Ruby, Rust, SCSS, Shell, Smarty, Starlark, Swift, TeX, TypeScript, Vim Script, Vue, Yacc, sed",46
llSourcell,Siraj Raval,"Senior AI/ML Engineer | Specializing in production-ready, trustworthy AI systems (GenAI, RAG, CV, MLOps).",490,36766,4,100,49905,18854,49905,99,91,3,100,"C#, C++, CMake, CSS, Dart, Dockerfile, HLSL, HTML, Java, JavaScript, Jupyter Notebook, Kotlin, Lua, MATLAB, Makefile, Objective-C, Objective-C++, Procfile, Python, Ruby, Rust, ShaderLab, Shell, Swift, TypeScript, Vue",26
facebookresearch,Meta Research,,1391,35924,0,100,463451,61990,463451,100,100,21,100,"ANTLR, Ada, Batchfile, C, C++, CMake, CSS, Cuda, Cython, Dockerfile, GLSL, Gherkin, HTML, JavaScript, Jinja, Jupyter Notebook, Lua, MATLAB, MDX, Makefile, Metal, Objective-C, Objective-C++, Python, QuickBASIC, R, SWIG, Shell, Starlark, TeX, TypeScript, Zig",32
taylorotwell,Taylor Otwell,Creator of @laravel.,33,35516,3,33,1097,207,1097,33,25,14,13,"ASP, Batchfile, Blade, C, C#, C++, CSS, Clojure, Common Lisp, D, Dockerfile, Gherkin, Go, HTML, Hack, Haskell, Java, JavaScript, MATLAB, Makefile, OCaml, Objective-C, Objective-C++, PHP, Pascal, Procfile, Python, R, Ruby, Rust, Scala, Shell, Tcl, TeX, Vue",35
ry,Ryan Dahl,,62,33188,40,62,5712,1192,5712,55,38,22,25,"Assembly, Awk, Batchfile, C, C#, C++, CMake, CSS, CoffeeScript, Dart, Dockerfile, Emacs Lisp, Fortran, Go, HCL, HTML, Java, JavaScript, Jupyter Notebook, Logos, Lua, M4, Makefile, OCaml, Objective-C, Objective-C++, PHP, Perl, Protocol Buffer, Python, RPC, Ruby, Rust, SCSS, Shell, Svelte, Swift, TeX, TypeScript, Verilog, Vim Script",41
tiangolo,Sebastián Ramírez,"Creator of FastAPI, Typer, SQLModel, Asyncer, etc. 🚀
From 🇨🇴 in 🇩🇪. 
Open Source, Python, APIs, AI. 🤖 Building FastAPI Cloud. ⚡️",48,31370,7,48,16041,2892,16041,48,45,12,29,"Batchfile, C++, CSS, Dockerfile, HTML, JavaScript, Jinja, Jupyter Notebook, Makefile, Mako, Mustache, Nushell, PowerShell, Python, RenderScript, Rust, Shell, TypeScript, Vue",19
iam-veeramalla,Abhishek Veeramalla,"Keep learning, sharing and growing || Principal Software Engineer at Red Hat || Open Source Enthusiast",92,31355,1,92,73377,141430,73377,87,83,16,92,"Batchfile, C, C#, C++, CMake, CSS, Dockerfile, EJS, Go, Groovy, HCL, HTML, Java, JavaScript, Jupyter Notebook, Kotlin, Lua, Makefile, Mustache, Objective-C, Objective-C++, PHP, Procfile, Python, Ruby, Rust, SCSS, Shell, Smarty, TSQL, TypeScript",31
lucidrains,Phil Wang,Working with Attention. It's all we need,390,59831,4,100,141911,14596,141911,100,100,1,100,"C, C++, CMake, CSS, Dockerfile, HTML, JavaScript, Jupyter Notebook, Just, Makefile, Nim, Python, Shell",13
hiteshchoudhary,Hitesh Choudhary,I make coding videos on youtube and for courses. My youtube channel explains my work more. Check that out,123,57155,0,100,48946,12016,48946,80,84,10,90,"Assembly, Astro, Blade, C, C++, CSS, Dockerfile, EJS, Go, HTML, Java, JavaScript, Jupyter Notebook, MDX, Objective-C, Objective-C++, PHP, Python, Ruby, Shell, Swift, TypeScript",22
tj,TJ,,296,51795,45,100,130808,8853,130808,100,98,5,71,"Batchfile, C, C++, CSS, CoffeeScript, Dockerfile, Go, HTML, JavaScript, Makefile, Objective-C, PHP, Pug, Python, Ruby, Shell, TypeScript",17
ThePrimeagen,ThePrimeagen,,236,48884,5,100,41730,5015,41730,71,44,7,100,"Ada, Assembly, Astro, Awk, Batchfile, Blade, Brainfuck, C, C#, C++, CMake, COBOL, CSS, Clojure, Common Lisp, Crystal, D, Dart, Dhall, Dockerfile, Elixir, Emacs Lisp, Erlang, F#, Factor, Fortran, GDScript, GLSL, Go, Groovy, HTML, Handlebars, Hare, Haskell, Haxe, HolyC, Java, JavaScript, Julia, Just, Kotlin, Lean, Linker Script, Lua, MATLAB, MDX, Makefile, Modula-2, Monkey, NASL, Nim, Nix, OCaml, Objective-C, Odin, PHP, Pascal, Perl, PowerShell, Prolog, Protocol Buffer, Pug, PureScript, Python, R, Racket, ReScript, Reason, Ruby, Rust, SCSS, Scala, Scheme, Shell, Solidity, Standard ML, Svelte, Swift, Tree-sitter Query, TypeScript, V, Vim Script, Zig, q",84
