github_username,github_name,github_bio,public_repos,followers,following,total_repositories_analyzed,total_stars,total_forks,total_watchers,readme_count,description_count,homepage_count,recent_repo_count,languages_used,language_count
Kiril-Git,Kiril Kirilov,"Passionate coder 🚀 
| Computer Science enthusiast 🖥️ | Aspiring Data Scientist 📊 | Always learning, always coding. Let's build a better digital world togeth",8,5,40,8,0,0,0,6,6,0,2,"CSS, HTML, Handlebars, Java, JavaScript, Makefile",6
delilaseptianidp17,Delila Septiani Dwi Putri,--process ongoing--,3,5,6,3,0,0,0,1,1,0,0,Python,1
Aayush-Ratna-Sthapit,Aayush Ratna Sthapit,,8,5,8,8,0,0,0,7,1,0,0,"Batchfile, CSS, HTML, JavaScript, Move, PowerShell, Python",7
mohsen-arshi,mohsen_arshi,"Back-end Web Developer
",4,5,11,4,3,0,3,3,0,0,0,Python,1
BSD-Programming-Workshop,The BSD Programming Workshop,The BSD Programming Workshop is a different take on a BSD User Group. Here we build solutions together and make our own community Lab to expirment as we learn.,3,5,0,3,10,2,10,3,1,0,1,"HCL, Jinja, Python, SaltStack, Shell",5
Nimoyroosvelt23,nima,,5,5,4,5,0,0,0,2,0,0,0,"CSS, HTML, JavaScript, TypeScript",4
Itzme-lucifer,Akhil Mahesh,Itz okay to be not okay 😊,3,5,12,3,2,0,2,2,3,1,1,,0
rachel-chu,racheliooo,hello,5,5,2,5,0,0,0,4,4,2,0,"Jupyter Notebook, TypeScript",2
d3w3r,Ronald Dewer Torres Villamil,Software Developer 💻  CS 💻  ,5,5,17,5,0,0,0,3,0,0,1,"HTML, Java, Python",3
Michael-Zhen,Zhichao Zhen,,6,5,17,6,0,0,0,4,3,2,0,"CSS, EJS, HCL, HTML, Java, JavaScript, MDX, SCSS, TypeScript",9
HarisAli1998,Haris Ali,,5,5,4,5,0,0,0,2,3,0,0,"CSS, HTML, JavaScript",3
anssoares,,,4,5,1,4,1,0,1,3,1,1,0,JavaScript,1
Rupeshkumar2,Rupesh Kumar Kuraganti,Highly passionate student eager to satisfy my curiosity by learning about new technologies and existing systems. I enjoy programming and efficient in problem-so,6,5,1,6,0,0,0,5,6,0,0,"C++, CSS, HTML, Java, JavaScript, Jupyter Notebook, Python, Roff",8
kosarheidari,kosarheidari,Data Scientist,3,5,0,3,3,0,3,3,0,0,0,Jupyter Notebook,1
Grupo67,,,6,5,0,6,0,3,0,2,0,0,0,"CSS, HTML, JavaScript",3
polymod-org,Polymod,A universal mod to theme and enhance the sites you love,4,5,0,4,72,2,72,4,4,0,1,"CSS, HTML, JavaScript, SCSS",4
anujgarg28,,,4,5,0,4,5,1,5,3,2,0,0,"CSS, HTML, JavaScript",3
dixopatrick422,,,3,5,11,3,0,0,0,1,3,1,0,"CSS, HTML, JavaScript",3
aromiafolabi,Aromire Afolabi,,7,5,5,7,0,0,0,7,0,0,0,"CSS, HTML, JavaScript, Python, SCSS",5
dustinjang,Dustin Jang,,4,5,4,4,0,0,0,1,2,1,0,"CSS, HTML, JavaScript",3
arunava980,Dr Arunava Sinha,"MBAIT. Ph.D Computer Sc - JU,
ExProf. in IGNOU & SMU. Course Director W.C.T.C - W.B. .Serampore
",6,5,2,6,3,0,3,5,5,0,0,"ASP.NET, C#, CSS, Dockerfile, HTML, JavaScript",6
pBxr,Peter Baumeister,,5,5,0,5,9,2,9,5,5,0,1,"C++, CSS, HTML, Hack, PHP, Python",6
IThiagoI,Thiago Campos,Desenvolvedor Java Júnior,6,5,15,6,1,0,1,3,0,0,0,"CSS, HTML, Java, JavaScript",4
EdgarGlezRivera,,,5,5,4,5,0,0,0,1,2,0,0,"CSS, HTML, Jupyter Notebook",3
cadenlyy,Loi Yi Yang Caden,,6,5,6,6,1,0,1,5,4,0,1,"C, C++, GLSL, Python",4
ujwalasonni,,,7,5,8,7,1,0,1,6,1,0,0,"CSS, HTML, Hack, Java, JavaScript, PHP",6
diegobrauer2001,Diego Brauer,"#Aprendiendo a programar!
#Estudiarte de Tecnicatura en programación 
",3,5,3,3,0,0,0,1,1,0,0,"CSS, HTML, JavaScript",3
cakeganic,cakeganic,a college student.,4,5,7,4,1,1,1,4,4,1,0,"CSS, HTML, JavaScript, TypeScript",4
Shaitan007,Bharat Bhushan Aswal,"Recent BSc in Information Technology graduate
with a solid foundation in software
development, IT support, and network security.
Proficient in JavaScript, Py",5,5,1,5,2,0,2,5,4,0,0,"CSS, HTML, JavaScript, Python",4
talha4561,Talha_Atg,,3,5,4,3,0,0,0,1,2,1,0,Java,1
sohel1137,Sohel Shaikh,,7,5,5,7,2,0,2,1,1,0,0,"CSS, HTML, JavaScript, PHP, Python",5
JessicaLRose,Jessica Rose,Former Desktop Support Technician || Aspiring Full-Stack Developer,3,5,2,3,0,0,0,3,1,0,0,"CSS, HTML, Java, JavaScript",4
Mahsa-khaleghi,,,3,5,3,3,0,0,0,0,1,0,0,"CSS, HTML, JavaScript",3
KarlaSribeiro,Karla S Ribeiro,"Oi, sou Desenvolvedora Front-End, apaixonada por programação  e estou em constante evolução das minhas skills. 🚀",7,5,4,7,2,0,2,3,4,1,0,"CSS, HTML, JavaScript",3
abbnoevah,,,4,5,9,4,0,0,0,3,2,1,0,"CSS, HTML, JavaScript, Vue",4
Mikie120,,,2,2,1,2,0,0,0,1,2,1,0,Swift,1
Yuni1204,,,2,2,2,2,0,0,0,1,1,0,0,"Batchfile, C#, Dockerfile",3
YusufEmircan,,,2,2,2,2,0,0,0,1,2,1,0,,0
luigejmk,julian,,2,2,1,2,0,0,0,1,2,1,0,C#,1
scorpionSRyu,scorpion,,1,2,11,1,0,0,0,0,1,1,0,,0
IceLens,,,3,2,0,3,0,0,0,1,3,0,0,"CSS, HTML, Hack, JavaScript, PHP, Python",6
tyrtyrK,Kirill,,2,2,1,2,0,0,0,2,1,1,0,"HTML, Java",2
tr-vengatesh,Vengatesh TR,,1,2,2,1,0,0,0,0,1,1,0,,0
D4rks1gn,Shankar,,1,2,9,1,0,0,0,0,0,0,0,"CSS, HTML, Hack, JavaScript, PHP",5
Tra92,,,1,2,0,1,0,0,0,0,1,1,0,,0
manav407,Manav Chavhan,,1,2,1,1,0,0,0,1,0,0,0,,0
jmur4t,,"ecx, [ebp+0Ch] ...",2,2,0,2,2,0,2,0,2,0,0,,0
313ctr0nz,,,1,2,0,1,0,0,0,1,1,0,0,,0
SHmetaverse,SH@MetaLife,,1,2,2,1,0,0,0,0,0,0,0,,0
Scirox93,,,2,2,0,2,0,0,0,0,0,0,0,"HTML, Java",2
Frixjay,Jacob Francis,"Software Developer. 
HTML | CSS | JAVASCRIPT ",3,2,2,3,0,0,0,3,3,1,0,"CSS, HTML",2
Saraholiveirash,,,3,2,1,3,0,0,0,2,0,0,0,"CSS, HTML",2
levanthangg,Lê Văn Thắng,"Hi guys, i'm Thang ",3,2,3,3,0,0,0,0,0,0,0,"ASP.NET, C#, CSS, HTML, JavaScript",5
SpiliopoulosG,George Dimitrios Spiliopoulos,,2,2,3,2,0,0,0,2,1,1,0,"C#, HLSL, ShaderLab, sed",4
SDK1410,Stefan Kresovic,Computer Science (M.Sc) student,1,2,2,1,0,0,0,1,1,0,0,,0
Lugo6ix,Olakotan Hafeez,Crypto Enthusiast| Mechanical Engineering (http://B.Sc)| NFTs (collector). Just want to make 💵💸 I love tech❤️ ,2,2,5,2,0,1,0,1,0,0,1,HTML,1
VladiSibichen,vladimirsibichenkov,,1,2,4,1,0,0,0,1,0,0,0,"CSS, HTML, TypeScript",3
Mu-1104,M_M,,1,2,2,1,0,2,0,1,0,1,0,"HTML, JavaScript, Ruby, SCSS",4
paweenatongbai,Paweena,,2,2,0,2,0,0,0,2,2,2,0,"AutoHotkey, Batchfile, C#, CSS, F#, HTML, Inno Setup, PowerShell, Rich Text Format, Ruby, Shell, Smalltalk, XSLT",13
Lizxxx,,,1,2,4,1,1,0,1,1,1,1,0,"HTML, JavaScript, Ruby, SCSS, Shell",5
Azzyeu,azzy,,2,2,1,2,0,0,0,1,1,0,1,"CSS, HTML, Python, SCSS",4
AndreiPiscitelli,Andrei dos Santos Piscitelli,"I am a statistician/data scientist, graduated from UNICAMP and love to relate statistics/data science and fashion.",3,2,4,3,0,0,0,3,2,1,0,"HTML, R",2
WildAndrey,,,1,2,2,1,0,0,0,0,0,0,0,Python,1
tonytxf,,,3,2,19,3,0,0,0,2,3,2,0,"HTML, Python, Ruby, Shell",4
BLjaswanth,,,3,2,18,3,0,0,0,2,3,1,0,Python,1
Spookyto,,,3,2,4,3,0,0,0,3,0,0,0,"CSS, HTML, Lua, Python",4
dritier,Dario Riederer,,1,2,2,1,0,0,0,1,1,0,0,Python,1
Lemonad1k,Lemonad1k,,1,2,1,1,0,0,0,1,1,0,1,"Batchfile, Python, Shell",3
batuhanmagrali,batuhanmagrali,,3,2,9,3,2,0,2,2,3,1,3,"C, Objective-C, Perl, Perl 6, Python",5
Frank-Dai,Frank Dai,"A high school student, a computing newbie",2,2,2,2,0,0,0,2,2,1,0,Python,1
MRX-DEVELOPER,M R X,"Discord Developer ...
Manufacturer of discord bots
Discord application projects
Discord configuration bots
Offering a variety of Discord tools",3,2,0,3,3,1,3,2,3,1,1,"Batchfile, JavaScript, Python",3
Endoxos0,Timothy Nguyen,"🍱
Typescript / Javascript
PHP
c++
c#",2,2,0,2,0,0,0,0,0,0,1,HTML,1
shivam-sw,Shivam Swarnkar,,2,2,0,2,1,0,1,2,2,0,0,"Jupyter Notebook, Python",2
m-kritika,,,3,2,0,3,0,0,0,2,2,0,0,"C, Python",2
IsThatTony,,,2,2,2,2,0,0,0,1,2,1,0,"Dockerfile, HTML, Python",3
Blackbear199,,,3,2,0,3,0,0,0,2,2,0,0,,0
IISER-K-SMC,,,2,2,0,2,2,0,2,2,1,0,0,"HTML, JavaScript, Python, Svelte, TypeScript",5
Xainx32,,,3,2,2,3,0,0,0,2,1,0,0,"CSS, HTML, JavaScript",3
biewtee1234,,,2,2,1,2,0,0,0,2,2,2,0,"Dockerfile, HTML, JavaScript, Ruby, SCSS, Shell, TypeScript",7
lanshuluu,,,1,2,11,1,0,0,0,1,1,1,0,"CSS, JavaScript",2
Taraka-Venkata-Kishore-Babu-E5903,Taraka Venkata Kishore Babu Muthyala,,3,2,1,3,0,0,0,2,0,0,0,"CSS, HTML, JavaScript",3
SFB1158RDM,Heidelberg Pain Consortium Data Management,Research data management for CRC 1158,2,2,0,2,0,0,0,2,0,0,0,"MATLAB, Shell",2
mudmap-io,Mudmap,,3,2,0,3,0,1,0,3,2,2,0,"CSS, JavaScript",2
Blizzorganization,,,2,2,0,2,6,7,6,2,1,0,0,"Dockerfile, JavaScript, Nix, Shell, TypeScript",5
MoisesDeLimaSuarez,,,3,2,2,3,0,0,0,1,0,0,0,"CSS, HTML, JavaScript",3
2992005,Bittu..,"Ethical Hacker, hash coding ,password generator,black eye,  golden eye.",3,2,0,3,1,0,1,1,2,1,0,"Dockerfile, HTML, JavaScript, SCSS, Shell, TypeScript",6
Beep8172,Beep,"Html, Css and Js Learner",3,2,0,3,6,1,6,3,3,0,0,"CSS, HTML, JavaScript, Lua",4
LinkPoly,LinkPoly,,2,2,0,2,29,4,29,2,2,0,1,"CSS, HTML, JavaScript, PHP",4
makensonlamour,,,1,2,0,1,2,2,2,1,0,0,0,"CSS, Dockerfile, HTML, JavaScript, Shell, TypeScript",6
Fan7asyyy,,,2,2,4,2,0,0,0,0,0,0,0,"CSS, HTML, JavaScript",3
rezephae,,,1,2,1,1,0,0,0,0,0,0,0,"CSS, HTML, JavaScript",3
